mapping_row_id,wind_name,wind_code,industry_code,function_type,calculation_type,ValueChain_type,candidate_rank,candidate_strength,match_score,name_feature_recall,uqer_indic_id,uqer_name,uqer_frequency,uqer_unit,uqer_stat_type,uqer_region,uqer_source,uqer_api,uqer_begin_date,uqer_end_date,uqer_is_update,conflict_flag,人工审核结论,人工审核备注,审核提示
203,中国:出口金额:车用发动机:当月值,S0270298,801880,需求,当期值,上游,1,中等候选,0.61504,0.392521,2070934175,出口金额(美元):发动机罩盖(87082953):当月值,月,美元,当期值,中国,海关总署,getEcoDataIndAutomobile,2015/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
204,中国:销量:二轮摩托车(150-250mL),S6000822,801880,需求,当期值,下游,1,强候选,0.815675,0.692108,2070814407,销量:摩托车:二轮摩托车:150ml<排量≤250ml,年,辆,当期值,nan,中国汽车工业年鉴,getEcoDataIndAutomobile,1996/12/31,2024/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
205,中国:销量:二轮摩托车(250-400mL),S6137433,801880,需求,当期值,下游,1,强候选,0.819525,0.7003,2070814408,销量:摩托车:二轮摩托车:250ml<排量≤400ml,年,辆,当期值,nan,中国汽车工业年鉴,getEcoDataIndAutomobile,2010/12/31,2024/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
214,中国:出口数量:商用车:当月同比,S6119113,801880,需求,同比,下游,1,强候选,0.795777,0.639951,2070201114,出口数量:汽车:商用车:货车:当月同比,月,%,当期同比,全国,Datayes!,getEcoDataIndAutomobile,2016/1/31,2023/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
215,中国:销量:大型客车,S6136074,801880,需求,当期值,下游,1,强候选,0.831294,0.786441,2070914030,中通客车:销量:大型客车:累计值,月,辆,累计值,nan,上市公司公告,getEcoDataIndAutomobile,2016/1/31,2025/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
216,中国:销量:客车(中型),S6103712,801880,需求,当期值,下游,1,强候选,0.791806,0.788764,2070920637,*ST亚星:销量:客车:中型客车:累计值,年,辆,累计值,nan,上市公司公告,getEcoDataIndAutomobile,2015/12/31,2023/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
220,中国:出口数量:冰箱:当月值,S0072043,801110,需求,当期值,下游,1,强候选,0.802171,0.634213,2090200914,出口数量:冰箱:非洲:当月值,月,台,当期值,nan,Datayes!,getEcoDataIndElectronic,2012/1/31,2016/8/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
221,中国:出口数量:空调:当月值,S0072018,801110,需求,当期值,下游,1,强候选,0.78308,0.634213,2090201064,出口数量:空调电机:非洲:当月值,月,台,当期值,nan,Datayes!,getEcoDataIndElectronic,2012/1/31,2016/8/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
222,中国:出口数量:洗衣机:当月值,S0072044,801110,需求,当期值,下游,1,强候选,0.835043,0.695128,2090200934,出口数量:洗衣机:非洲:当月值,月,台,当期值,nan,Datayes!,getEcoDataIndElectronic,2012/1/31,2016/8/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
230,中国:存货:纺织服装、服饰业:同比,M5786869,801130,库存,同比,中游,1,中等候选,0.775996,0.732071,1020006590,工业企业:存货:纺织服装、服饰业:累计同比,月,%,累计同比,全国,国家统计局,getEcoDataChina,2012/2/29,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
