指数代码,日期,rolling_return,rolling_volatility,rolling_sharpe,rolling_drawdown
CI011800.WI,2024-03-19,-0.05613596883217997,0.09266482938987311,-0.7378876427671949,-0.07829531052829775
CI011800.WI,2024-03-20,-0.04315767912439439,0.092053622497746,-0.5950765549068865,-0.0760111113265386
CI011800.WI,2024-03-21,-0.044016855889113304,0.09204215326407106,-0.6049205702371568,-0.07549399426010073
CI011800.WI,2024-03-22,-0.04978471854430788,0.09219160199551595,-0.6694219919120704,-0.0805451930368607
CI011800.WI,2024-03-25,-0.04695342473027542,0.09198937760092966,-0.6387595043794145,-0.08512132862584765
CI011800.WI,2024-03-26,-0.053613827588317564,0.09171011941151916,-0.7174374581181243,-0.08519105432077667
CI011800.WI,2024-03-27,-0.056227583354571564,0.0919162294735081,-0.7457047126358843,-0.09291595131835717
CI011800.WI,2024-03-28,-0.052963869542473785,0.09208982584999874,-0.7066475474093833,-0.08736857138878018
CI011800.WI,2024-03-29,-0.038727160098202096,0.09181329698789484,-0.5465678314783294,-0.08227950591607958
CI011800.WI,2024-04-01,-0.03882774104181319,0.09180822097961917,-0.5477426769469083,-0.07840272086774436
CI011800.WI,2024-04-02,-0.03790098798328834,0.0918011929372108,-0.5372951054220161,-0.0787017403296788
CI011800.WI,2024-04-03,-0.04530633113295823,0.09144834881311871,-0.6241997465428398,-0.0785912351160446
CI011800.WI,2024-04-08,-0.04988074344427684,0.09144320443514098,-0.6767551450410316,-0.08087698175489744
CI011800.WI,2024-04-09,-0.052034835424980885,0.09134835449540238,-0.7023945095833957,-0.07861544795527575
CI011800.WI,2024-04-10,-0.05334981819491891,0.09138322840345925,-0.7172787981551528,-0.08154784124788239
CI011800.WI,2024-04-11,-0.05078864554663387,0.09141503034161849,-0.6874474779236397,-0.07950240248711371
CI011800.WI,2024-04-12,-0.04868760565886643,0.09137181674403193,-0.6636222781442848,-0.08029887746182451
CI011800.WI,2024-04-15,-0.045567133704545015,0.09142452871610941,-0.6273737453541088,-0.07760606384161084
CI011800.WI,2024-04-16,-0.059533947438344725,0.0920634624461251,-0.7824742817651331,-0.08822730795008549
CI011800.WI,2024-04-17,-0.05450268196229846,0.09258217534654385,-0.7199622221504783,-0.07788960893260799
CI011800.WI,2024-04-18,-0.06893205684232828,0.09105991161926046,-0.9023569767519989,-0.07698417618135667
CI011800.WI,2024-04-19,-0.06805003471541682,0.09105017423297913,-0.8920664664556014,-0.07765430746865054
CI011800.WI,2024-04-22,-0.071911522444979,0.09106216133790003,-0.9375205090130379,-0.08006011702083404
CI011800.WI,2024-04-23,-0.08321331523843778,0.09079122682493641,-1.0754949883031961,-0.08414571505111046
CI011800.WI,2024-04-24,-0.07157950004064861,0.09074029485703423,-0.9372261481477584,-0.07898774311488344
CI011800.WI,2024-04-25,-0.07114232235338092,0.09074349477538904,-0.9320034048235539,-0.07846079527161476
CI011800.WI,2024-04-26,-0.06902421180328844,0.09085530107267438,-0.9056824709011307,-0.07358345560362012
CI011800.WI,2024-04-29,-0.06184621906045262,0.09087217183894597,-0.8209982172536792,-0.07007541571214826
CI011800.WI,2024-04-30,-0.06648703544705681,0.09072270091197086,-0.8771472913989318,-0.07008779520889807
CI011800.WI,2024-05-06,-0.061581442478987,0.09111626193425257,-0.8154619234622291,-0.059153771460069726
CI011800.WI,2024-05-07,-0.05840123166106326,0.09109163341214703,-0.778575150395582,-0.054300504324179655
CI011800.WI,2024-05-08,-0.05872550858172365,0.09110782475789794,-0.7822004173548683,-0.05793956927033106
CI011800.WI,2024-05-09,-0.05215814336813385,0.09132736557964284,-0.7039872450071175,-0.036234850649282224
CI011800.WI,2024-05-10,-0.03322127773296646,0.08944130560658385,-0.49961690839012124,-0.0352841787848881
CI011800.WI,2024-05-13,-0.027374233291611705,0.08921217411337916,-0.4335479570799558,-0.035761566795285415
CI011800.WI,2024-05-14,-0.015245895725642056,0.08848038844770262,-0.2978208755769121,-0.03495192866901564
CI011800.WI,2024-05-15,-0.02117730105203086,0.08844639595206344,-0.3662713717658315,-0.03744557678741378
CI011800.WI,2024-05-16,-0.025093395907474503,0.08830695694336732,-0.4123814497483066,-0.03651682484924934
