指标组,数据源,统一方法,声明数,平均绝对误差,均方根误差,最大绝对误差,误差单位,组内排名
夏普,Wind实际更新日,月频算术夏普|Rf=0.0%,7,0.6444715395814988,0.8684896685568784,1.7611308339471696,夏普值,22
夏普,Wind实际更新日,月频算术夏普|Rf=1.0%,7,0.647347848878072,0.9571122803515217,1.9641698680064321,夏普值,23
夏普,手工统一日历,月频算术夏普|Rf=1.0%,7,0.6473514495754665,0.957112235927113,1.964137519704081,夏普值,24
夏普,手工统一日历,CAGR/日频波动|Rf=0.0%,7,0.6533292115416857,0.9283976919237301,2.092657965436132,夏普值,25
夏普,Wind实际更新日,CAGR/日频波动|Rf=2.0%,7,0.6545112866744296,1.060781210717177,2.456881070263814,夏普值,26
夏普,手工统一日历,CAGR/日频波动|Rf=2.5%,7,0.6709939638116545,1.0755534919874927,2.4812427102043846,夏普值,27
夏普,手工统一日历,日频算术夏普|Rf=2.0%,7,0.6822772317320183,1.0802800227830625,2.5237579821551073,夏普值,28
夏普,Wind实际更新日,月频算术夏普|Rf=1.5%,7,0.7045807958515748,1.0117333999901386,2.0649992908449954,夏普值,29
夏普,手工统一日历,月频算术夏普|Rf=1.5%,7,0.7045854787789095,1.0117363136702024,2.064968074791619,夏普值,30
夏普,Wind实际更新日,周频算术夏普|Rf=2.0%,7,0.7129222979759019,1.0586105706022897,2.4100096393356885,夏普值,31
夏普,Wind实际更新日,日频算术夏普|Rf=2.5%,7,0.7151102783443802,1.0885582976417008,2.5224966085630935,夏普值,32
夏普,手工统一日历,周频算术夏普|Rf=2.5%,7,0.7224427602739745,1.0526560249880088,2.45618307726546,夏普值,33
夏普,Wind实际更新日,CAGR/日频波动|Rf=2.5%,7,0.7343086103573901,1.1056593388679228,2.5318272570892955,夏普值,34
夏普,手工统一日历,CAGR/日频波动|Rf=3.0%,7,0.7536538844445262,1.1236597327094688,2.5589596591580355,夏普值,35
夏普,手工统一日历,日频算术夏普|Rf=2.5%,7,0.7631255283085654,1.1283065339907963,2.5997716401639974,夏普值,36
夏普,Wind实际更新日,月频算术夏普|Rf=2.0%,7,0.7765481203553379,1.071721419404018,2.1653744321771695,夏普值,37
夏普,手工统一日历,月频算术夏普|Rf=2.0%,7,0.7765635824584332,1.0717269767269137,2.1653443432714816,夏普值,38
夏普,Wind实际更新日,日频算术夏普|Rf=3.0%,7,0.7927804205811259,1.1362504887611513,2.595444932168085,夏普值,39
夏普,Wind实际更新日,周频算术夏普|Rf=2.5%,7,0.794101326087419,1.110665199456095,2.4909682957802604,夏普值,40
夏普,手工统一日历,周频算术夏普|Rf=3.0%,7,0.8039864617930255,1.1081563292863026,2.5374073501365135,夏普值,41
夏普,Wind实际更新日,CAGR/日频波动|Rf=3.0%,7,0.8141059340403507,1.1550984575172047,2.6067734439147765,夏普值,42
夏普,手工统一日历,日频算术夏普|Rf=3.0%,7,0.8435819583805949,1.1804461280657665,2.6754168648512118,夏普值,43
夏普,Wind实际更新日,月频算术夏普|Rf=2.5%,7,0.8657987371216913,1.1361225700975082,2.265299550629644,夏普值,44
夏普,手工统一日历,月频算术夏普|Rf=2.5%,7,0.8658144801730969,1.1361304753138781,2.2652705838181797,夏普值,45
夏普,Wind实际更新日,周频算术夏普|Rf=3.0%,7,0.8748928995202441,1.1664496236613722,2.5715405493452987,夏普值,46
夏普,Wind实际更新日,月频算术夏普|Rf=3.0%,7,0.9546511544082171,1.2041325304182062,2.364778844373774,夏普值,47
夏普,手工统一日历,月频算术夏普|Rf=3.0%,7,0.9546671771544573,1.2041425158312655,2.364750994650211,夏普值,48
年化收益,手工统一日历,实际日历CAGR,7,0.9228394775826761,1.3094718071319886,2.9086250250411645,百分点,1
年化收益,Wind实际更新日,日收益算术均值×252,7,0.9907227079820372,1.2016703587380282,2.1691053937520968,百分点,2
年化收益,Wind实际更新日,日对数收益指数化×252,7,1.045713054622506,1.4038486591650665,2.6666011133808816,百分点,3
年化收益,Wind实际更新日,252交易日几何年化,7,1.0457130546225344,1.4038486591651087,2.6666011133809926,百分点,4
年化收益,Wind实际更新日,实际日历CAGR,7,1.1118692417061637,1.4494449995173255,2.9083717551897177,百分点,5
年化收益,手工统一日历,252交易日几何年化,7,1.1865358288098686,1.4524608746722316,3.100351344402183,百分点,6
年化收益,手工统一日历,日对数收益指数化×252,7,1.1865358288098815,1.4524608746722587,3.100351344402272,百分点,7
年化收益,手工统一日历,日收益算术均值×252,7,1.3311902894636616,1.523361660465685,2.626512838927516,百分点,8
年化收益,手工统一日历,完整年度收益算术均值,7,2.6885465650591667,3.5867205012275853,6.647482516610223,百分点,9
年化收益,Wind实际更新日,完整年度收益算术均值,7,2.850154587850363,3.6478654894989964,6.647393748956462,百分点,10
年化收益,手工统一日历,累计收益/实际年数,7,3.7444203718169784,4.705197312536447,9.59040760106383,百分点,11
年化收益,Wind实际更新日,累计收益/实际年数,7,3.9327944419406253,4.746085023794638,9.590438685531916,百分点,12
